match,set,team_a,team_b,team_a_points,team_b_points
BRA_vs_FRA,1,BRA,FRA,15,6
BRA_vs_FRA,2,BRA,FRA,15,6
BRA_vs_FRA,3,BRA,FRA,15,11
BRA_vs_FRA,4,BRA,FRA,8,15
BRA_vs_FRA,5,BRA,FRA,15,12
BRA_vs_ITA,1,BRA,ITA,11,15
BRA_vs_ITA,2,BRA,ITA,13,15
BRA_vs_ITA,3,BRA,ITA,15,17
BRA_vs_ITA,4,BRA,ITA,15,12
BRA_vs_ITA,5,BRA,ITA,15,13
BRA_vs_JPN,1,BRA,JPN,17,15
BRA_vs_JPN,2,BRA,JPN,15,12
BRA_vs_JPN,3,BRA,JPN,13,15
BRA_vs_JPN,4,BRA,JPN,15,10
BRA_vs_JPN,5,BRA,JPN,16,14
BRA_vs_POL,1,BRA,POL,12,15
BRA_vs_POL,2,BRA,POL,15,10
BRA_vs_POL,3,BRA,POL,15,8
BRA_vs_POL,4,BRA,POL,12,15
BRA_vs_POL,5,BRA,POL,15,11
BRA_vs_SLO,1,BRA,SLO,17,15
BRA_vs_SLO,2,BRA,SLO,15,8
BRA_vs_SLO,3,BRA,SLO,11,15
BRA_vs_SLO,4,BRA,SLO,12,15
BRA_vs_SLO,5,BRA,SLO,15,11
BRA_vs_USA,1,BRA,USA,15,17
BRA_vs_USA,2,BRA,USA,13,15
BRA_vs_USA,3,BRA,USA,15,9
BRA_vs_USA,4,BRA,USA,11,15
BRA_vs_USA,5,BRA,USA,15,13
FRA_vs_ITA,1,FRA,ITA,7,15
FRA_vs_ITA,2,FRA,ITA,9,15
FRA_vs_ITA,3,FRA,ITA,12,15
FRA_vs_ITA,4,FRA,ITA,11,15
FRA_vs_ITA,5,FRA,ITA,15,17
FRA_vs_JPN,1,FRA,JPN,15,12
FRA_vs_JPN,2,FRA,JPN,19,17
FRA_vs_JPN,3,FRA,JPN,15,12
FRA_vs_JPN,4,FRA,JPN,15,13
FRA_vs_JPN,5,FRA,JPN,15,10
FRA_vs_POL,1,FRA,POL,7,15
FRA_vs_POL,2,FRA,POL,15,17
FRA_vs_POL,3,FRA,POL,15,12
FRA_vs_POL,4,FRA,POL,8,15
FRA_vs_POL,5,FRA,POL,13,15
FRA_vs_SLO,1,FRA,SLO,13,15
FRA_vs_SLO,2,FRA,SLO,18,20
FRA_vs_SLO,3,FRA,SLO,11,15
FRA_vs_SLO,4,FRA,SLO,9,15
FRA_vs_SLO,5,FRA,SLO,15,10
FRA_vs_USA,1,FRA,USA,12,15
FRA_vs_USA,2,FRA,USA,13,15
FRA_vs_USA,3,FRA,USA,11,15
FRA_vs_USA,4,FRA,USA,16,14
FRA_vs_USA,5,FRA,USA,13,15
ITA_vs_JPN,1,ITA,JPN,15,12
ITA_vs_JPN,2,ITA,JPN,19,17
ITA_vs_JPN,3,ITA,JPN,15,9
ITA_vs_JPN,4,ITA,JPN,15,11
ITA_vs_JPN,5,ITA,JPN,11,15
ITA_vs_POL,1,ITA,POL,15,11
ITA_vs_POL,2,ITA,POL,15,9
ITA_vs_POL,3,ITA,POL,15,8
ITA_vs_POL,4,ITA,POL,15,9
ITA_vs_POL,5,ITA,POL,13,15
ITA_vs_SLO,1,ITA,SLO,13,15
ITA_vs_SLO,2,ITA,SLO,11,15
ITA_vs_SLO,3,ITA,SLO,15,3
ITA_vs_SLO,4,ITA,SLO,15,7
ITA_vs_SLO,5,ITA,SLO,15,13
ITA_vs_USA,1,ITA,USA,24,22
ITA_vs_USA,2,ITA,USA,15,9
ITA_vs_USA,3,ITA,USA,15,10
ITA_vs_USA,4,ITA,USA,10,15
ITA_vs_USA,5,ITA,USA,15,17
JPN_vs_POL,1,JPN,POL,13,15
JPN_vs_POL,2,JPN,POL,15,12
JPN_vs_POL,3,JPN,POL,15,10
JPN_vs_POL,4,JPN,POL,11,15
JPN_vs_POL,5,JPN,POL,15,11
JPN_vs_SLO,1,JPN,SLO,17,15
JPN_vs_SLO,2,JPN,SLO,11,15
JPN_vs_SLO,3,JPN,SLO,7,15
JPN_vs_SLO,4,JPN,SLO,15,13
JPN_vs_SLO,5,JPN,SLO,10,15
JPN_vs_USA,1,JPN,USA,12,15
JPN_vs_USA,2,JPN,USA,12,15
JPN_vs_USA,3,JPN,USA,15,12
JPN_vs_USA,4,JPN,USA,15,13
JPN_vs_USA,5,JPN,USA,11,15
POL_vs_SLO,1,POL,SLO,9,15
POL_vs_SLO,2,POL,SLO,12,15
POL_vs_SLO,3,POL,SLO,12,15
POL_vs_SLO,4,POL,SLO,14,16
POL_vs_SLO,5,POL,SLO,11,15
POL_vs_USA,1,POL,USA,15,12
POL_vs_USA,2,POL,USA,10,15
POL_vs_USA,3,POL,USA,12,15
POL_vs_USA,4,POL,USA,15,13
POL_vs_USA,5,POL,USA,15,13
SLO_vs_USA,1,SLO,USA,12,15
SLO_vs_USA,2,SLO,USA,15,9
SLO_vs_USA,3,SLO,USA,12,15
SLO_vs_USA,4,SLO,USA,12,15
SLO_vs_USA,5,SLO,USA,7,15
