team,rotation_number,rallies_served,points_won,win_prob,avg_run_length,max_run_length,rank_points,rank_win_prob
POL,R1,34,14,0.4117647058823529,0.7,3,1.0,1.0
POL,R2,26,5,0.19230769230769232,0.23809523809523808,1,5.0,5.0
POL,R3,39,14,0.358974358974359,0.56,4,1.0,2.0
POL,R4,27,3,0.1111111111111111,0.12,1,6.0,6.0
POL,R5,36,11,0.3055555555555556,0.4230769230769231,2,3.0,3.0
POL,R6,32,8,0.25,0.3333333333333333,3,4.0,4.0
ITA,R1,30,9,0.3,0.42857142857142855,4,6.0,6.0
ITA,R2,33,13,0.3939393939393939,0.65,3,3.0,3.0
ITA,R3,31,11,0.3548387096774194,0.5238095238095238,2,5.0,5.0
ITA,R4,34,14,0.4117647058823529,0.7,3,2.0,2.0
ITA,R5,39,17,0.4358974358974359,0.7727272727272727,3,1.0,1.0
ITA,R6,33,12,0.36363636363636365,0.5714285714285714,4,4.0,4.0
BRA,R1,32,14,0.4375,0.7368421052631579,3,1.0,1.0
BRA,R2,28,9,0.32142857142857145,0.45,5,6.0,6.0
BRA,R3,34,11,0.3235294117647059,0.4782608695652174,3,5.0,5.0
BRA,R4,33,12,0.36363636363636365,0.5714285714285714,3,2.0,4.0
BRA,R5,32,12,0.375,0.6,2,2.0,2.0
BRA,R6,32,12,0.375,0.6,6,2.0,2.0
USA,R1,36,13,0.3611111111111111,0.5652173913043478,6,2.0,1.0
USA,R2,40,13,0.325,0.4642857142857143,2,2.0,3.0
USA,R3,39,14,0.358974358974359,0.56,3,1.0,2.0
USA,R4,33,9,0.2727272727272727,0.375,2,5.0,5.0
USA,R5,36,10,0.2777777777777778,0.38461538461538464,2,4.0,4.0
USA,R6,29,4,0.13793103448275862,0.16,1,6.0,6.0
FRA,R1,36,14,0.3888888888888889,0.6086956521739131,3,1.0,1.0
FRA,R2,35,10,0.2857142857142857,0.4,3,3.0,4.0
FRA,R3,36,11,0.3055555555555556,0.44,2,2.0,2.0
FRA,R4,30,7,0.23333333333333334,0.30434782608695654,1,5.0,5.0
FRA,R5,24,3,0.125,0.14285714285714285,2,6.0,6.0
FRA,R6,31,9,0.2903225806451613,0.4090909090909091,3,4.0,3.0
JPN,R1,38,12,0.3157894736842105,0.46153846153846156,3,2.0,2.0
JPN,R2,30,7,0.23333333333333334,0.30434782608695654,2,5.0,5.0
JPN,R3,30,9,0.3,0.42857142857142855,3,3.0,3.0
JPN,R4,35,14,0.4,0.6666666666666666,2,1.0,1.0
JPN,R5,27,5,0.18518518518518517,0.21739130434782608,3,6.0,6.0
JPN,R6,29,8,0.27586206896551724,0.38095238095238093,3,4.0,4.0
SLO,R1,25,6,0.24,0.3157894736842105,2,5.0,5.0
SLO,R2,31,11,0.3548387096774194,0.5238095238095238,3,1.0,1.0
SLO,R3,27,8,0.2962962962962963,0.42105263157894735,2,4.0,4.0
SLO,R4,32,11,0.34375,0.5,4,1.0,2.0
SLO,R5,27,5,0.18518518518518517,0.22727272727272727,3,6.0,6.0
SLO,R6,32,11,0.34375,0.5,5,1.0,2.0
