serving_team,rotation_number,serve_type,prob
BRA,R1,FLOAT,0.1875
BRA,R1,HYBRID,0.375
BRA,R1,JUMP,0.4375
BRA,R2,HYBRID,0.14285714285714285
BRA,R2,JUMP,0.8571428571428571
BRA,R3,FLOAT,0.8235294117647058
BRA,R3,HYBRID,0.11764705882352941
BRA,R3,JUMP,0.058823529411764705
BRA,R4,FLOAT,0.030303030303030304
BRA,R4,HYBRID,0.06060606060606061
BRA,R4,JUMP,0.9090909090909091
BRA,R5,FLOAT,0.03125
BRA,R5,HYBRID,0.03125
BRA,R5,JUMP,0.9375
BRA,R6,FLOAT,0.125
BRA,R6,HYBRID,0.09375
BRA,R6,JUMP,0.78125
FRA,R1,FLOAT,0.19444444444444445
FRA,R1,HYBRID,0.05555555555555555
FRA,R1,JUMP,0.75
FRA,R2,FLOAT,0.5142857142857142
FRA,R2,HYBRID,0.08571428571428572
FRA,R2,JUMP,0.4
FRA,R3,FLOAT,0.1388888888888889
FRA,R3,HYBRID,0.08333333333333333
FRA,R3,JUMP,0.7777777777777778
FRA,R4,JUMP,1.0
FRA,R5,FLOAT,0.4583333333333333
FRA,R5,HYBRID,0.20833333333333334
FRA,R5,JUMP,0.3333333333333333
FRA,R6,FLOAT,0.7741935483870968
FRA,R6,HYBRID,0.03225806451612903
FRA,R6,JUMP,0.1935483870967742
ITA,R1,FLOAT,0.03333333333333333
ITA,R1,HYBRID,0.23333333333333334
ITA,R1,JUMP,0.7333333333333333
ITA,R2,HYBRID,0.06060606060606061
ITA,R2,JUMP,0.9393939393939394
ITA,R3,FLOAT,0.5483870967741935
ITA,R3,HYBRID,0.2903225806451613
ITA,R3,JUMP,0.16129032258064516
ITA,R4,JUMP,1.0
ITA,R5,HYBRID,0.15384615384615385
ITA,R5,JUMP,0.8461538461538461
ITA,R6,FLOAT,0.45454545454545453
ITA,R6,HYBRID,0.18181818181818182
ITA,R6,JUMP,0.36363636363636365
JPN,R1,FLOAT,0.6578947368421053
JPN,R1,HYBRID,0.18421052631578946
JPN,R1,JUMP,0.15789473684210525
JPN,R2,HYBRID,0.03333333333333333
JPN,R2,JUMP,0.9666666666666667
JPN,R3,FLOAT,0.8333333333333334
JPN,R3,HYBRID,0.03333333333333333
JPN,R3,JUMP,0.13333333333333333
JPN,R4,JUMP,1.0
JPN,R5,HYBRID,0.1111111111111111
JPN,R5,JUMP,0.8888888888888888
JPN,R6,FLOAT,0.5172413793103449
JPN,R6,JUMP,0.4827586206896552
POL,R1,FLOAT,0.3235294117647059
POL,R1,HYBRID,0.4411764705882353
POL,R1,JUMP,0.23529411764705882
POL,R2,FLOAT,0.038461538461538464
POL,R2,HYBRID,0.19230769230769232
POL,R2,JUMP,0.7692307692307693
POL,R3,JUMP,1.0
POL,R4,HYBRID,0.037037037037037035
POL,R4,JUMP,0.9629629629629629
POL,R5,HYBRID,0.027777777777777776
POL,R5,JUMP,0.9722222222222222
POL,R6,FLOAT,0.0625
POL,R6,HYBRID,0.8125
POL,R6,JUMP,0.125
SLO,R1,FLOAT,0.32
SLO,R1,HYBRID,0.04
SLO,R1,JUMP,0.64
SLO,R2,JUMP,1.0
SLO,R3,FLOAT,0.7407407407407407
SLO,R3,HYBRID,0.07407407407407407
SLO,R3,JUMP,0.18518518518518517
SLO,R4,JUMP,1.0
SLO,R5,HYBRID,0.037037037037037035
SLO,R5,JUMP,0.9629629629629629
SLO,R6,FLOAT,0.03125
SLO,R6,HYBRID,0.15625
SLO,R6,JUMP,0.8125
USA,R1,FLOAT,0.4444444444444444
USA,R1,HYBRID,0.1111111111111111
USA,R1,JUMP,0.4444444444444444
USA,R2,HYBRID,0.2
USA,R2,JUMP,0.8
USA,R3,FLOAT,0.2564102564102564
USA,R3,HYBRID,0.15384615384615385
USA,R3,JUMP,0.5897435897435898
USA,R4,HYBRID,0.030303030303030304
USA,R4,JUMP,0.9696969696969697
USA,R5,JUMP,1.0
USA,R6,HYBRID,0.20689655172413793
USA,R6,JUMP,0.7931034482758621
